INFO  17:04:38 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  17:04:38 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up insert with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Generating batches with [1..1] partitions and [1..1] rows (of [1..1] total rows in the partitions)
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [insert, likelyquery0] with 250 threads for 5000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
likelyquery0,    952574,     307,     307,     307,   715.1,   681.0,  1073.6,  1329.3,  1511.8,  1770.9, 3096.8,  0.01685,      0,      0,       0,       0,       0,       0
total,       1268896,     408,     408,     408,   611.5,   609.3,  1019.2,  1299.6,  1504.5,  1770.9, 3096.8,  0.01685,      0,      0,       0,       0,       0,       0
insert,       324989,     101,     101,     101,   293.4,   283.1,   433.8,   531.1,   679.0,   837.9, 3182.8,  0.01644,      0,      0,       0,       0,       0,       0
likelyquery0,    979634,     315,     315,     315,   701.2,   678.1,   986.5,  1181.4,  1356.1,  1509.5, 3182.8,  0.01644,      0,      0,       0,       0,       0,       0
total,       1304623,     416,     416,     416,   602.2,   613.9,   954.8,  1151.3,  1342.9,  1509.5, 3182.8,  0.01644,      0,      0,       0,       0,       0,       0
insert,       332297,     104,     104,     104,   291.8,   271.1,   468.4,   588.7,   740.7,   788.4, 3252.9,  0.01605,      0,      0,       0,       0,       0,       0
likelyquery0,   1001336,     310,     310,     310,   709.9,   660.5,  1086.8,  1238.2,  1394.7,  1488.4, 3252.9,  0.01605,      0,      0,       0,       0,       0,       0
total,       1333633,     414,     414,     414,   604.6,   590.5,  1049.7,  1217.6,  1367.7,  1488.4, 3252.9,  0.01605,      0,      0,       0,       0,       0,       0
insert,       338429,     107,     107,     107,   290.4,   277.3,   448.4,   543.6,   667.0,   689.7, 3310.0,  0.01567,      0,      0,       0,       0,       0,       0
likelyquery0,   1019170,     312,     312,     312,   700.9,   678.1,  1021.9,  1179.9,  1338.0,  1481.9, 3310.0,  0.01567,      0,      0,       0,       0,       0,       0
total,       1357599,     420,     420,     420,   595.9,   606.3,   979.8,  1157.8,  1323.6,  1481.9, 3310.0,  0.01567,      0,      0,       0,       0,       0,       0
insert,       344383,     104,     104,     104,   288.7,   269.9,   481.0,   627.6,   762.9,   827.2, 3367.0,  0.01532,      0,      0,       0,       0,       0,       0
likelyquery0,   1036880,     311,     311,     311,   705.4,   651.0,  1118.8,  1346.7,  1504.6,  1657.8, 3367.0,  0.01532,      0,      0,       0,       0,       0,       0
total,       1381263,     415,     415,     415,   600.5,   591.0,  1066.7,  1311.8,  1479.1,  1657.8, 3367.0,  0.01532,      0,      0,       0,       0,       0,       0
insert,       351063,     109,     109,     109,   293.4,   282.2,   433.6,   527.7,   643.3,   746.1, 3428.2,  0.01498,      0,      0,       0,       0,       0,       0
likelyquery0,   1056001,     312,     312,     312,   700.0,   678.8,   999.3,  1139.5,  1267.0,  1373.8, 3428.3,  0.01498,      0,      0,       0,       0,       0,       0
total,       1407064,     421,     421,     421,   594.7,   607.4,   957.4,  1118.4,  1261.2,  1373.8, 3428.3,  0.01498,      0,      0,       0,       0,       0,       0
