INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        138992,    1540,    1540,    1540,   163.0,   160.9,   203.9,   237.6,   268.9,   271.4,   84.2,  0.00756,      0,      0,       0,       0,       0,       0
total,        140884,    1535,    1535,    1535,   164.0,   160.4,   207.0,   235.1,   264.7,   304.4,   85.4,  0.00753,      0,      0,       0,       0,       0,       0
total,        142834,    1599,    1599,    1599,   154.9,   149.7,   196.3,   224.2,   241.6,   291.8,   86.6,  0.00744,      0,      0,       0,       0,       0,       0
total,        144754,    1559,    1559,    1559,   161.0,   154.9,   203.6,   233.3,   265.8,   270.1,   87.8,  0.00738,      0,      0,       0,       0,       0,       0
total,        146687,    1617,    1617,    1617,   155.2,   151.8,   192.5,   221.9,   245.1,   270.9,   89.0,  0.00729,      0,      0,       0,       0,       0,       0
total,        148527,    1496,    1496,    1496,   166.0,   159.6,   220.9,   250.2,   294.1,   295.0,   90.3,  0.00730,      0,      0,       0,       0,       0,       0
total,        150411,    1584,    1584,    1584,   156.4,   153.6,   193.0,   217.4,   242.2,   261.7,   91.5,  0.00723,      0,      0,       0,       0,       0,       0
total,        152352,    1629,    1629,    1629,   154.5,   149.7,   193.2,   223.8,   273.8,   286.6,   92.6,  0.00714,      0,      0,       0,       0,       0,       0
total,        154294,    1589,    1589,    1589,   158.4,   153.4,   203.3,   238.6,   277.8,   287.1,   93.9,  0.00706,      0,      0,       0,       0,       0,       0
total,        156156,    1581,    1581,    1581,   157.6,   152.3,   197.8,   230.3,   300.7,   323.9,   95.0,  0.00699,      0,      0,       0,       0,       0,       0
total,        158184,    1576,    1576,    1576,   159.3,   150.0,   215.4,   242.9,   298.2,   303.9,   96.3,  0.00693,      0,      0,       0,       0,       0,       0
total,        160284,    1630,    1630,    1630,   152.3,   144.3,   200.9,   232.8,   269.5,   315.0,   97.6,  0.00684,      0,      0,       0,       0,       0,       0
total,        162218,    1623,    1623,    1623,   152.8,   149.3,   189.8,   213.5,   246.4,   248.2,   98.8,  0.00676,      0,      0,       0,       0,       0,       0
total,        164152,    1646,    1646,    1646,   153.9,   150.0,   192.3,   219.1,   253.7,   291.3,  100.0,  0.00668,      0,      0,       0,       0,       0,       0
total,        166166,    1602,    1602,    1602,   156.0,   149.8,   202.3,   230.7,   254.5,   264.8,  101.2,  0.00661,      0,      0,       0,       0,       0,       0
total,        168127,    1638,    1638,    1638,   152.6,   149.1,   189.4,   213.4,   241.8,   258.7,  102.4,  0.00653,      0,      0,       0,       0,       0,       0
total,        170063,    1588,    1588,    1588,   157.7,   154.4,   198.4,   223.3,   263.3,   276.8,  103.7,  0.00647,      0,      0,       0,       0,       0,       0
total,        171933,    1567,    1567,    1567,   160.2,   150.7,   214.5,   245.1,   276.6,   285.3,  104.9,  0.00642,      0,      0,       0,       0,       0,       0
total,        173884,    1663,    1663,    1663,   149.3,   141.6,   201.4,   228.3,   270.2,   314.9,  106.0,  0.00635,      0,      0,       0,       0,       0,       0
total,        175907,    1637,    1637,    1637,   153.1,   146.8,   199.4,   232.9,   267.0,   278.8,  107.3,  0.00628,      0,      0,       0,       0,       0,       0
total,        177837,    1615,    1615,    1615,   153.5,   147.6,   196.8,   223.2,   252.9,   263.1,  108.5,  0.00621,      0,      0,       0,       0,       0,       0
total,        179868,    1736,    1736,    1736,   145.3,   142.1,   180.5,   208.3,   249.0,   264.1,  109.6,  0.00617,      0,      0,       0,       0,       0,       0
total,        181807,    1645,    1645,    1645,   152.0,   148.7,   191.6,   221.3,   251.9,   266.3,  110.8,  0.00610,      0,      0,       0,       0,       0,       0
total,        183792,    1695,    1695,    1695,   148.0,   144.4,   184.5,   209.9,   251.1,   314.7,  112.0,  0.00605,      0,      0,       0,       0,       0,       0
total,        185849,    1655,    1655,    1655,   150.7,   146.7,   187.7,   218.1,   247.2,   264.7,  113.2,  0.00598,      0,      0,       0,       0,       0,       0
total,        187762,    1619,    1619,    1619,   154.0,   147.6,   202.9,   233.2,   279.4,   286.0,  114.4,  0.00592,      0,      0,       0,       0,       0,       0
